"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:26:57:414 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"[run number]","initial-density","wrap?","update-1d?","[step]","count patches with [living?] / count patches"
"6","5","true","false","71","0.004037296933576853"
"5","5","true","false","63","0.003556666346246275"
"2","5","true","false","50","0.012111890800730558"
"3","5","true","false","58","0.003845044698644622"
"6","5","true","false","72","0.004037296933576853"
"5","5","true","false","64","0.003556666346246275"
"4","5","true","false","62","0.013746034797654523"
"1","5","true","false","63","0.010958377391137171"
"2","5","true","false","51","0.011727386330866096"
"3","5","true","false","59","0.003845044698644622"
"6","5","true","false","73","0.004037296933576853"
"4","5","true","false","63","0.01489954820724791"
"5","5","true","false","65","0.003556666346246275"
"1","5","true","false","64","0.011439007978467749"
"6","5","true","false","74","0.004037296933576853"
"2","5","true","false","52","0.013073151975391713"
"3","5","true","false","60","0.003845044698644622"
"4","5","true","false","64","0.015668557146976833"
"5","5","true","false","66","0.003556666346246275"
"1","5","true","false","65","0.010189368451408248"
"3","5","true","false","61","0.003845044698644622"
"6","5","true","false","75","0.004037296933576853"
"2","5","true","false","53","0.012015764683264443"
"4","5","true","false","65","0.015476304912044603"
"5","5","true","false","67","0.003556666346246275"
"1","5","true","false","66","0.010381620686340479"
"6","5","true","false","76","0.004037296933576853"
"3","5","true","false","62","0.003845044698644622"
"4","5","true","false","66","0.016245313851773528"
"2","5","true","false","54","0.011727386330866096"
"1","5","true","false","67","0.010766125156204941"
"5","5","true","false","68","0.003556666346246275"
"3","5","true","false","63","0.003845044698644622"
"4","5","true","false","67","0.016053061616841297"
"6","5","true","false","77","0.004037296933576853"
"2","5","true","false","55","0.013553782562722291"
"5","5","true","false","69","0.003556666346246275"
"1","5","true","false","68","0.009997116216476016"
"4","5","true","false","68","0.016149187734307412"
"3","5","true","false","64","0.003845044698644622"
"6","5","true","false","78","0.004037296933576853"
"5","5","true","false","70","0.003556666346246275"
"1","5","true","false","69","0.009131981159280976"
"2","5","true","false","56","0.011823512448332211"
"4","5","true","false","69","0.017398827261366913"
"6","5","true","false","79","0.004037296933576853"
"3","5","true","false","65","0.003845044698644622"
"1","5","true","false","70","0.009612611746611554"
"2","5","true","false","57","0.011439007978467749"
"5","5","true","false","71","0.003556666346246275"
"3","5","true","false","66","0.003845044698644622"
"4","5","true","false","70","0.018360088436028068"
"1","5","true","false","71","0.008747476689416514"
"5","5","true","false","72","0.003556666346246275"
"6","5","true","false","80","0.004037296933576853"
"2","5","true","false","58","0.012400269153128906"
"3","5","true","false","67","0.003845044698644622"
"4","5","true","false","71","0.016245313851773528"
"1","5","true","false","72","0.00884360280688263"
"6","5","true","false","81","0.004037296933576853"
"3","5","true","false","68","0.003845044698644622"
"4","5","true","false","72","0.016533692204171873"
"5","5","true","false","73","0.003556666346246275"
"1","5","true","false","73","0.009516485629145439"
"6","5","true","false","82","0.004037296933576853"
"2","5","true","false","59","0.011823512448332211"
"3","5","true","false","69","0.003845044698644622"
"5","5","true","false","74","0.003556666346246275"
"4","5","true","false","73","0.016725944439104103"
"6","5","true","false","83","0.004037296933576853"
"1","5","true","false","74","0.009997116216476016"
"3","5","true","false","70","0.003845044698644622"
"4","5","true","false","74","0.015187926559646256"
"6","5","true","false","84","0.004037296933576853"
"1","5","true","false","75","0.010477746803806594"
"5","5","true","false","75","0.003556666346246275"
"3","5","true","false","71","0.003845044698644622"
"4","5","true","false","75","0.016149187734307412"
"2","5","true","false","60","0.012784773622993368"
"1","5","true","false","76","0.010573872921272709"
"5","5","true","false","76","0.003556666346246275"
"3","5","true","false","72","0.003845044698644622"
"4","5","true","false","76","0.0142266653849851"
"6","5","true","false","85","0.004037296933576853"
"1","5","true","false","77","0.010766125156204941"
"2","5","true","false","61","0.012688647505527251"
"5","5","true","false","77","0.003556666346246275"
"3","5","true","false","73","0.003845044698644622"
"4","5","true","false","77","0.016341439969239643"
"6","5","true","false","86","0.004037296933576853"
"5","5","true","false","78","0.003556666346246275"
"2","5","true","false","62","0.01316927809285783"
"1","5","true","false","78","0.009997116216476016"
"6","5","true","false","87","0.004037296933576853"
"5","5","true","false","79","0.003556666346246275"
